1,302750.72,848.0026,2312.379,5,182132.9
2,230380.03,522.0563,1861.932,5,78401.58
3,360647.28,924.4691,2223.493,5,154390.8
4,82020.116,539.2045,1804.448,5,184545.3
5,458347.71,837.5364,1927.671,5,137504.3
6,241235.64,828.8871,2212.65,4,74783.05
7,184752.42,828.3569,1858.769,5,56174.72
8,229173.85,1480.027,2956.933,4,54278.02
9,470409.49,959.0402,2431.378,2,84432.48
10,176705.1,737.2409,1755.961,5,54278.02
11,369090.52,756.5043,1777.845,4,132679.6
12,253297.42,1327.41,2274,4,100112.8
13,506594.84,981.751,2427.38,5,158009.3
14,235204.75,948.2327,2279.231,5,101319
15,214699.72,962.8486,2125.021,5,53071.84
16,247266.53,1248.472,2777.852,5,66339.8
17,62721.265,1942.929,4613.752,4,15680.32
18,199019.4,1201.29,2579.867,5,63927.45
19,388992.46,662.5786,2166.055,2,202637.9
20,338936.07,299.5411,1291.172,5,102525.1
21,209875,1150.155,2669.106,5,72370.69
22,223142.96,1055.88,3013.331,5,109762.2
23,154993.9,1046.187,3126.397,3,55484.2
24,360647.28,198.6635,1162.99,2,131473.4
25,325668.11,1347.803,2518.791,4,121824
26,197813.22,923.4477,2389.198,4,55484.2
27,482471.27,693.7951,1811.998,5,330492.8
28,196607.04,1500.423,3591.539,2,133885.8
29,265359.2,807.8701,2446.43,5,65133.62
30,133885.78,363.8408,2290.278,5,43422.41
31,195400.87,727.623,3616.52,5,50659.48
32,434224.15,752.4875,1599.557,5,173689.7
33,335317.53,655.0022,1695.61,5,86844.83
34,843118.55,533.0796,2131.96,5,488502.2
35,796077.6,650.2416,2018.502,5,796077.6
36,226761.5,784.9048,2408.854,4,79607.76
37,315689.4,1005.841,2401.715,5,153184.6
38,201431.76,1056.392,3003.283,3,106143.7
39,414925.29,725.7606,2076.974,5,129061.1
40,168261.86,1036.62,2914.771,4,72370.69
41,265359.2,657.649,1579.702,4,72370.69
42,200225.58,1042.129,3018.634,5,95288.08
43,171880.39,765.7386,2506.582,3,69958.34
44,199019.4,1116.528,2669.364,2,26535.92
45,209875,775.6746,2534.301,5,92875.72
46,183942.17,725.5402,2230.635,5,51865.66
47,186957.62,672.1783,2057.306,5,60308.91
48,313606.33,1148.625,2729.055,5,82020.12
49,207462.65,1066.737,2293.452,5,44628.59
50,281039.52,982.9684,2629.921,4,82020.12
51,331699,387.9677,1335.498,3,92875.72
52,331699,1051.29,2590.634,2,206256.5
53,215905.89,148.1998,1421.113,5,69958.34
54,404069.69,2116.486,3953.73,4,132679.6
55,685109.21,1379.92,3247.453,5,183339.1
56,226761.5,1282.277,2931.469,5,68752.16
57,440255.04,1184.84,2581.341,5,106143.7
58,494533.05,900.514,2184.583,4,217112.1
59,205653.38,814.3767,3367.469,5,84432.48
60,174895.84,1017.497,2346.539,4,55484.2
61,165246.41,963.9302,2970.68,4,61515.09
62,216563.26,509.0314,1953.778,5,79607.76
63,165246.41,1514.832,2601.646,3,57896.55
64,277420.98,737.6221,1760.209,5,253297.4
65,174895.84,742.3044,3674.995,5,60308.91
66,193490.71,1352.328,2925.166,3,106107.8
67,183229.32,1107.456,2080.685,5,50659.48
68,478249.65,297.4878,1068.671,5,142329
69,465394.46,675.6909,2833.118,5,139618.3
70,256892.93,1323.821,2957.099,4,86619.79
71,106129.97,1031.978,2984.744,4,35774.14
72,487633.15,1175.637,2670.782,5,102625.4
